Date,Store,Customers,Promo,Weather,Day_Type,Sales
2023-05-28,C,219.0,1,sunny,holiday,3833.85
2023-06-13,B,734.0,1,sunny,,18108.01
2023-05-27,C,346.0,1,snowy,weekday,8227.03
2023-03-31,B,459.0,,snowy,weekend,9644.42
2023-05-27,A,320.0,0,rainy,,5618.5
2023-05-28,C,872.0,0,sunny,holiday,20808.88
2023-04-06,A,605.0,1,,weekday,14957.03
2023-02-21,B,157.0,1,snowy,weekday,3963.21
2023-06-10,B,926.0,,,weekday,19265.93
2023-06-17,A,559.0,,,weekend,11795.07
2023-05-08,C,227.0,0,sunny,holiday,4894.32
2023-02-08,C,798.0,,,holiday,19268.84
2023-03-23,A,816.0,,snowy,,13158.89
2023-04-14,A,185.0,0,snowy,weekday,3368.17
2023-05-09,A,203.0,,rainy,weekend,2219.99
2023-01-11,C,242.0,0,sunny,weekday,3042.48
2023-06-27,C,304.0,1,sunny,weekday,7546.9
2023-05-31,C,740.0,0,,,14274.11
2023-06-08,A,857.0,0,snowy,,17297.05
2023-02-11,C,137.0,1,snowy,,2854.46
2023-04-09,B,462.0,0,rainy,weekday,9856.39
2023-01-07,A,720.0,1,,weekday,18051.64
2023-05-24,C,408.0,1,snowy,weekend,8503.51
2023-03-31,A,151.0,0,sunny,weekend,1320.24
2023-04-22,B,100.0,0,rainy,,604.44
2023-03-01,B,110.0,1,sunny,holiday,3385.72
2023-04-23,A,925.0,1,rainy,weekend,24660.32
2023-01-02,A,846.0,1,sunny,weekday,20236.33
2023-05-09,B,,1,,weekday,19312.85
2023-02-17,A,313.0,1,snowy,weekday,6878.95
2023-05-20,B,854.0,0,sunny,,16015.15
2023-02-06,B,655.0,1,,holiday,18402.57
2023-06-09,C,617.0,,sunny,,13931.44
2023-01-09,A,767.0,1,,weekday,19099.54
2023-04-09,A,514.0,0,rainy,holiday,11609.48
2023-05-27,C,107.0,1,,weekend,3132.83
2023-02-17,B,104.0,1,sunny,weekday,2910.37
2023-05-11,A,461.0,1,snowy,weekday,9649.71
2023-05-28,C,793.0,1,rainy,weekday,19300.02
2023-06-01,C,211.0,1,rainy,,3622.58
2023-02-23,A,372.0,0,,holiday,8581.48
2023-04-30,C,521.0,0,sunny,,11792.53
2023-06-10,B,364.0,1,,weekday,10903.93
2023-06-01,C,557.0,0,rainy,weekday,9592.84
2023-04-26,B,311.0,,snowy,weekday,5995.56
2023-03-16,B,177.0,0,,weekday,2834.71
2023-04-23,A,881.0,0,sunny,weekday,17760.52
2023-06-13,C,765.0,1,,,21047.16
2023-06-15,B,320.0,1,,weekday,8877.75
2023-04-14,B,468.0,1,,weekend,11599.92
2023-03-25,C,446.0,0,snowy,,7390.06
2023-04-22,B,124.0,0,sunny,weekday,2496.96
2023-04-09,C,519.0,1,sunny,weekday,13059.99
2023-06-02,A,453.0,0,rainy,holiday,9606.58
2023-04-03,B,819.0,0,rainy,,14146.25
2023-05-26,B,516.0,1,,holiday,16389.01
2023-05-08,C,614.0,1,rainy,,16575.49
2023-04-20,C,314.0,0,sunny,weekday,6759.33
2023-03-23,C,211.0,0,,,3349.86
2023-02-23,C,803.0,0,rainy,,14661.37
2023-06-12,B,658.0,0,snowy,weekday,10996.27
2023-06-18,A,527.0,1,rainy,weekend,12112.48
2023-06-10,A,832.0,1,snowy,,18149.35
2023-03-09,A,798.0,0,rainy,holiday,17119.52
2023-02-02,A,661.0,0,sunny,weekend,14015.89
2023-05-22,C,808.0,0,rainy,,16800.0
2023-01-21,B,315.0,1,snowy,weekend,6002.43
2023-02-17,B,512.0,0,snowy,weekday,8423.23
2023-05-28,B,832.0,,rainy,weekend,14603.28
2023-05-08,C,479.0,0,,weekday,9724.69
2023-05-16,B,701.0,0,snowy,weekend,14761.51
2023-05-15,C,331.0,0,sunny,weekend,6454.93
2023-05-25,B,934.0,1,rainy,holiday,25827.62
2023-05-08,A,357.0,1,snowy,holiday,9522.58
2023-02-02,C,764.0,1,rainy,weekday,18968.44
2023-06-25,B,355.0,0,rainy,weekend,7666.69
2023-04-25,A,502.0,0,,weekday,11843.22
2023-04-29,A,523.0,0,rainy,weekend,10234.15
2023-01-22,A,869.0,0,rainy,,17163.46
2023-06-07,C,164.0,0,rainy,weekday,4869.21
2023-02-07,C,289.0,1,sunny,,6201.69
2023-04-19,B,702.0,0,rainy,weekday,13133.6
2023-02-20,A,272.0,0,sunny,,6014.78
2023-01-08,B,858.0,0,rainy,weekday,15486.23
2023-01-27,B,867.0,0,,weekday,16439.29
2023-01-27,A,727.0,1,,weekday,20204.97
2023-01-21,B,660.0,0,snowy,,11149.16
2023-01-30,C,326.0,0,rainy,weekday,5845.9
2023-04-07,B,,,,weekday,13815.92
2023-01-28,A,487.0,0,,holiday,11185.58
2023-04-21,C,500.0,0,rainy,weekend,9431.13
2023-03-02,C,737.0,1,snowy,weekday,16395.39
2023-02-17,B,312.0,0,sunny,weekday,5238.18
2023-05-27,B,152.0,1,,weekday,3246.25
2023-01-04,C,723.0,0,,holiday,16670.87
2023-02-04,B,770.0,1,sunny,,20156.45
2023-02-18,A,851.0,1,,,22293.17
2023-01-17,B,761.0,,sunny,,15215.15
2023-06-21,B,238.0,1,sunny,weekday,5753.28
2023-06-07,C,517.0,1,snowy,,10455.52
2023-02-15,B,724.0,1,sunny,,17744.11
2023-04-27,B,242.0,0,sunny,weekend,5264.11
2023-01-06,B,981.0,1,sunny,weekday,25613.1
2023-04-09,A,608.0,0,sunny,weekday,10226.83
2023-05-04,B,749.0,1,,weekday,18388.16
2023-02-06,A,585.0,1,sunny,weekday,12359.18
2023-01-24,A,536.0,1,,weekend,12386.1
2023-04-03,A,915.0,1,rainy,holiday,25281.12
2023-02-15,A,642.0,1,rainy,weekday,14010.85
2023-04-05,C,392.0,0,sunny,weekday,7948.07
2023-04-09,A,719.0,0,snowy,,13865.56
2023-04-26,B,383.0,1,snowy,weekday,8196.25
2023-06-09,A,770.0,1,,weekday,18025.89
2023-06-10,B,937.0,1,,weekday,23544.15
2023-03-08,A,113.0,1,rainy,weekday,4165.59
2023-05-08,C,733.0,0,,weekend,16435.4
2023-01-18,A,826.0,1,snowy,weekday,18361.46
2023-01-25,A,371.0,0,rainy,,6519.84
2023-02-23,C,124.0,0,sunny,,3636.4
2023-02-27,A,421.0,0,,holiday,7654.42
2023-03-08,B,905.0,1,sunny,weekday,23561.98
2023-04-14,A,780.0,1,,weekday,18969.49
2023-06-23,A,202.0,0,snowy,holiday,2527.31
2023-01-24,A,965.0,1,,holiday,24594.34
2023-04-24,C,982.0,0,snowy,weekday,19147.6
2023-02-01,A,139.0,1,snowy,weekday,2946.48
2023-06-24,A,334.0,1,sunny,,7455.76
2023-03-27,B,931.0,0,,weekend,19505.11
2023-05-31,A,188.0,,sunny,,3187.73
2023-05-07,A,199.0,0,snowy,weekday,3097.49
2023-06-04,A,243.0,1,snowy,weekend,5271.91
2023-05-10,A,181.0,0,snowy,weekday,3265.47
2023-01-17,B,688.0,0,snowy,holiday,14372.24
2023-04-14,B,670.0,1,rainy,holiday,15906.03
2023-06-10,C,328.0,0,snowy,,7119.4
2023-05-17,A,702.0,1,,weekday,16605.01
2023-02-12,C,965.0,0,snowy,weekday,17600.57
2023-06-25,C,494.0,0,rainy,holiday,10263.84
2023-02-08,A,612.0,1,,,14493.08
2023-06-19,B,880.0,0,rainy,,17798.55
2023-01-26,B,897.0,1,rainy,weekday,20549.29
2023-04-09,A,296.0,1,,weekday,8818.8
2023-02-19,A,373.0,1,rainy,weekday,9493.37
2023-06-02,B,689.0,0,snowy,weekend,12313.8
2023-06-01,A,752.0,1,sunny,,17601.56
2023-01-13,A,899.0,,sunny,,19045.19
2023-03-01,A,682.0,0,sunny,weekday,12498.91
2023-05-15,B,661.0,1,,holiday,18031.06
2023-02-26,C,471.0,0,,weekday,10116.8
2023-02-05,C,980.0,1,,weekend,26211.75
2023-06-22,A,179.0,1,sunny,holiday,4699.37
2023-01-20,B,334.0,1,sunny,,7620.35
2023-03-06,A,386.0,,,weekend,8864.2
2023-01-08,B,918.0,0,sunny,weekend,17303.0
2023-05-24,A,766.0,0,rainy,holiday,16280.63
2023-05-22,B,671.0,0,rainy,weekday,11517.16
2023-04-25,B,644.0,0,sunny,weekday,12002.77
2023-05-23,C,536.0,1,,weekday,13768.33
2023-04-02,A,226.0,1,snowy,holiday,4851.36
2023-04-08,C,832.0,0,snowy,weekday,16017.57
2023-03-07,C,811.0,1,sunny,weekend,22030.51
2023-02-01,B,516.0,1,snowy,weekday,10982.24
2023-03-27,A,737.0,0,,weekday,14514.74
2023-02-20,B,140.0,0,rainy,weekend,1692.14
2023-06-02,B,886.0,1,rainy,holiday,23641.01
2023-03-04,B,568.0,0,,weekday,12928.13
2023-05-05,A,396.0,,snowy,weekday,6052.39
2023-05-30,A,696.0,0,sunny,weekday,14108.41
2023-02-27,B,700.0,1,rainy,weekday,16932.28
2023-02-27,A,141.0,1,snowy,holiday,2252.21
2023-03-27,B,731.0,0,snowy,weekend,12862.96
2023-02-18,,378.0,0,rainy,weekend,5737.29
2023-06-29,A,558.0,0,rainy,weekend,11691.55
2023-06-19,C,132.0,0,sunny,weekend,2394.33
2023-03-11,B,375.0,0,,weekend,7113.09
2023-01-15,C,764.0,1,snowy,weekend,20000.28
2023-02-23,C,189.0,1,sunny,weekday,2922.98
2023-04-11,B,715.0,1,rainy,weekday,18202.02
2023-01-08,B,623.0,0,,weekend,10821.23
2023-02-22,A,259.0,1,,weekend,6251.97
2023-03-01,B,557.0,0,snowy,holiday,9347.04
2023-04-18,C,807.0,,,holiday,16851.98
2023-01-05,C,498.0,,rainy,,8948.15
2023-04-13,B,918.0,1,rainy,weekday,21128.25
2023-01-06,C,873.0,1,rainy,weekend,22019.88
2023-04-19,A,190.0,0,sunny,weekday,4677.71
2023-04-26,C,808.0,0,rainy,,15244.51
2023-04-04,A,680.0,1,sunny,holiday,19055.73
2023-02-16,C,565.0,0,rainy,,12217.94
2023-04-09,A,319.0,1,rainy,weekday,6913.16
2023-02-24,A,518.0,1,,holiday,15239.26
2023-06-17,B,478.0,1,snowy,weekday,13028.03
2023-02-21,A,825.0,0,rainy,holiday,19138.28
2023-05-24,B,546.0,0,,,12549.32
2023-01-13,C,245.0,0,,weekend,5909.52
2023-04-24,C,332.0,1,snowy,,8506.04
2023-05-04,C,470.0,1,,,11266.15
2023-04-16,A,333.0,,,weekend,6907.56
2023-06-07,C,825.0,1,snowy,weekday,18384.66
2023-05-27,C,466.0,0,sunny,weekday,8656.66
2023-05-25,B,580.0,0,snowy,holiday,11629.11
2023-04-30,B,672.0,1,snowy,,14647.79
2023-03-04,C,462.0,,rainy,holiday,9720.84
2023-01-19,C,689.0,0,rainy,weekend,12368.26
2023-04-02,A,610.0,1,sunny,weekday,14716.56
2023-02-27,A,194.0,0,snowy,weekday,4676.07
2023-03-31,C,941.0,0,snowy,weekend,17969.13
2023-04-27,B,315.0,,sunny,weekday,7634.71
2023-03-03,C,824.0,0,rainy,holiday,16588.77
2023-01-23,A,915.0,1,snowy,weekday,20364.03
2023-05-07,B,811.0,0,sunny,,16434.93
2023-05-17,B,963.0,1,rainy,weekday,22686.3
2023-05-20,A,642.0,1,,,14655.72
2023-05-09,C,901.0,1,sunny,holiday,25401.04
2023-02-27,C,954.0,0,sunny,weekday,18094.41
2023-05-02,C,234.0,0,snowy,holiday,4622.88
2023-01-01,A,182.0,1,,,
2023-02-03,B,490.0,0,rainy,holiday,9563.22
2023-04-06,,146.0,1,,holiday,3876.13
2023-05-06,,491.0,1,snowy,holiday,12707.95
2023-04-28,A,817.0,0,snowy,weekend,14273.82
2023-02-17,B,484.0,1,rainy,weekend,11180.79
2023-03-30,A,480.0,1,rainy,weekday,13076.08
2023-04-27,C,176.0,,rainy,holiday,5732.06
2023-05-09,B,358.0,0,snowy,holiday,7597.96
2023-01-16,A,703.0,0,rainy,holiday,16029.93
2023-03-10,A,498.0,0,rainy,weekend,9541.18
2023-01-22,B,199.0,0,rainy,,4401.65
2023-04-03,B,600.0,0,sunny,holiday,13863.37
2023-03-17,C,482.0,,rainy,weekday,8263.48
2023-06-03,B,806.0,0,snowy,weekday,14684.86
2023-05-24,C,291.0,0,sunny,weekend,5800.89
2023-06-28,A,679.0,0,snowy,,12553.05
2023-03-27,C,853.0,0,,weekday,16524.91
2023-01-29,A,701.0,0,sunny,holiday,13821.65
2023-03-10,B,444.0,1,rainy,weekend,11089.46
2023-02-16,A,109.0,0,sunny,holiday,3311.67
2023-04-04,B,363.0,0,snowy,weekday,7281.68
2023-05-24,A,367.0,0,sunny,weekend,5841.99
2023-06-25,A,931.0,1,,weekday,23457.44
2023-03-26,A,729.0,0,rainy,,14505.14
2023-02-08,A,861.0,0,rainy,,16489.18
2023-04-10,C,670.0,,,weekday,14264.66
2023-02-02,A,294.0,0,snowy,,4022.5
2023-04-11,C,661.0,1,sunny,,15380.0
2023-01-23,B,506.0,1,snowy,weekday,11915.42
2023-01-10,B,,0,snowy,weekday,6796.55
2023-03-10,C,989.0,1,snowy,weekend,24473.59
2023-04-10,B,196.0,,rainy,weekend,4216.23
2023-02-03,B,561.0,0,sunny,weekday,10324.6
2023-06-29,A,738.0,1,rainy,holiday,18291.91
2023-05-18,A,857.0,0,rainy,weekday,14500.08
2023-05-27,A,186.0,0,rainy,weekday,4187.1
2023-04-06,C,176.0,1,sunny,weekday,4283.27
2023-01-01,C,988.0,,,weekday,20676.33
2023-03-10,B,815.0,1,rainy,,19601.11
2023-01-04,A,582.0,0,rainy,,11166.78
2023-01-16,C,245.0,1,rainy,weekday,6593.38
2023-01-24,C,760.0,1,sunny,weekday,18902.09
2023-03-21,A,210.0,0,sunny,weekend,4061.02
2023-01-02,C,740.0,,snowy,holiday,14651.89
2023-05-08,A,864.0,0,rainy,,17215.66
2023-06-09,B,777.0,0,rainy,weekend,14561.67
2023-03-25,B,396.0,0,sunny,,8844.72
2023-06-01,B,525.0,0,sunny,weekday,10563.36
2023-05-20,A,,1,rainy,holiday,19140.14
2023-06-27,C,890.0,0,,,17983.25
2023-06-12,B,433.0,1,snowy,holiday,11881.38
2023-05-04,B,622.0,0,snowy,holiday,13472.88
2023-02-02,B,682.0,0,rainy,weekend,13997.0
2023-06-10,C,770.0,1,snowy,,17888.38
2023-06-28,C,827.0,0,snowy,holiday,16417.4
2023-06-20,A,637.0,1,rainy,weekday,14573.2
2023-04-11,B,897.0,1,snowy,holiday,22641.21
2023-01-12,C,261.0,1,sunny,holiday,6683.81
2023-03-08,A,529.0,1,rainy,,11588.56
2023-03-06,B,713.0,1,sunny,weekday,17402.66
2023-06-10,C,168.0,,rainy,holiday,1795.23
2023-06-17,C,232.0,0,sunny,,3401.48
2023-03-15,A,288.0,1,snowy,,8306.2
2023-02-12,B,822.0,0,,holiday,19322.56
2023-02-13,B,854.0,0,sunny,weekday,16839.85
2023-01-29,C,777.0,0,sunny,weekday,16062.14
2023-05-21,B,672.0,,,weekend,13113.95
2023-01-12,A,973.0,1,,weekday,24986.59
2023-04-05,C,378.0,0,sunny,weekday,7821.22
2023-02-15,C,529.0,0,sunny,,9875.05
2023-05-10,A,724.0,,sunny,,14156.72
2023-02-04,C,641.0,0,rainy,holiday,12986.54
2023-03-22,B,934.0,0,sunny,holiday,21483.0
2023-03-31,B,260.0,1,sunny,,6418.63
2023-01-08,C,845.0,1,,holiday,21501.55
2023-04-03,A,998.0,0,,,19511.1
2023-06-03,A,552.0,0,rainy,weekday,9744.75
2023-03-31,B,988.0,,rainy,holiday,19104.73
2023-06-11,A,950.0,,snowy,weekday,16414.93
2023-04-25,C,269.0,0,sunny,weekend,3382.57
2023-04-15,C,929.0,0,sunny,holiday,19414.14
2023-05-15,B,797.0,0,,,16136.1
2023-02-27,B,156.0,1,snowy,,3918.36
2023-04-24,B,339.0,1,sunny,weekend,9427.37
2023-03-16,A,868.0,0,snowy,,16485.62
2023-06-06,C,457.0,1,rainy,weekday,11981.98
2023-04-30,C,300.0,1,sunny,,6475.47
2023-06-13,C,543.0,1,sunny,weekend,12808.25
